Orders,Size,Run_time,Comparison
Randomized,10000,0,91784
Randomized,10000,0,91784
Randomized,10000,0,91784
Randomized,30000,0.002074,286792
Randomized,30000,0.002046,286792
Randomized,30000,0.002195,286792
Randomized,50000,0.005008,457600
Randomized,50000,0.00321,457600
Randomized,50000,0,457600
Randomized,100000,0.016171,861963
Randomized,100000,0,861963
Randomized,100000,0,861963
Randomized,300000,0.016301,2566435
Randomized,300000,0.025516,2566435
Randomized,300000,0.015104,2566435
Randomized,500000,0.049986,4331295
Randomized,500000,0.056019,4331295
Randomized,500000,0.036626,4331295
Nearly sorted,10000,0,123463
Nearly sorted,10000,0,123463
Nearly sorted,10000,0,123463
Nearly sorted,30000,0.002008,370461
Nearly sorted,30000,0.002052,370461
Nearly sorted,30000,0.001997,370461
Nearly sorted,50000,0.004001,617459
Nearly sorted,50000,0.003096,617459
Nearly sorted,50000,0.003898,617459
Nearly sorted,100000,0.005011,1234965
Nearly sorted,100000,0.004002,1234965
Nearly sorted,100000,0.004,1234965
Nearly sorted,300000,0.017001,3704965
Nearly sorted,300000,0.014002,3704963
Nearly sorted,300000,0.017896,3704963
Nearly sorted,500000,0.028903,6174963
Nearly sorted,500000,0.022017,6174963
Nearly sorted,500000,0.023589,6174963
Sorted,10000,0,123491
Sorted,10000,0.001001,123491
Sorted,10000,0.000999,123491
Sorted,30000,0.001,370491
Sorted,30000,0.001999,370491
Sorted,30000,0.002004,370491
Sorted,50000,0.003021,617491
Sorted,50000,0.002985,617491
Sorted,50000,0.003001,617491
Sorted,100000,0.007998,1234991
Sorted,100000,0.004997,1234991
Sorted,100000,0.004005,1234991
Sorted,300000,0.017587,3704991
Sorted,300000,0.018908,3704991
Sorted,300000,0.025808,3704991
Sorted,500000,0.03447,6174991
Sorted,500000,0.02512,6174991
Sorted,500000,0.024484,6174991
Reversed,10000,0,96001
Reversed,10000,0,96001
Reversed,10000,0,96001
Reversed,30000,0,288001
Reversed,30000,0,288001
Reversed,30000,0,288001
Reversed,50000,0,480001
Reversed,50000,0.008268,480001
Reversed,50000,0,480001
Reversed,100000,0.008056,960001
Reversed,100000,0.00831,960001
Reversed,100000,0,960001
Reversed,300000,0.024237,2880001
Reversed,300000,0.017248,2880001
Reversed,300000,0.012593,2880001
Reversed,500000,0.035068,4800001
Reversed,500000,0.015643,4800001
Reversed,500000,0.01643,4800001
