Orders,Size,Run_time,Comparison
Randomized,10000,0.006007,637507
Randomized,10000,0.005999,637507
Randomized,10000,0.004104,637507
Randomized,30000,0.009904,2149494
Randomized,30000,0.010005,2149494
Randomized,30000,0.015107,2149494
Randomized,50000,0.015647,3772511
Randomized,50000,0.030742,3772511
Randomized,50000,0.015007,3772511
Randomized,100000,0.031682,8045178
Randomized,100000,0.031177,8045178
Randomized,100000,0.047366,8045178
Randomized,300000,0.131004,26487679
Randomized,300000,0.156438,26490263
Randomized,300000,0.143164,26490263
Randomized,500000,0.247099,45971490
Randomized,500000,0.248334,45972469
Randomized,500000,0.25528,45967625
Nearly sorted,10000,0.00311,669839
Nearly sorted,10000,0.002903,669839
Nearly sorted,10000,0.002003,669839
Nearly sorted,30000,0.008992,2236550
Nearly sorted,30000,0.008899,2236550
Nearly sorted,30000,0.012,2236550
Nearly sorted,50000,0.019894,3925438
Nearly sorted,50000,0.015106,3925438
Nearly sorted,50000,0.015098,3925438
Nearly sorted,100000,0.042962,8365049
Nearly sorted,100000,0.039938,8365049
Nearly sorted,100000,0.030838,8365184
Nearly sorted,300000,0.125603,27413314
Nearly sorted,300000,0.136901,27413314
Nearly sorted,300000,0.12588,27413314
Nearly sorted,500000,0.226739,47404954
Nearly sorted,500000,0.188522,47405072
Nearly sorted,500000,0.189679,47405072
Sorted,10000,0,670329
Sorted,10000,0,670329
Sorted,10000,0.015623,670329
Sorted,30000,0.008616,2236648
Sorted,30000,0.015729,2236648
Sorted,30000,0.015621,2236648
Sorted,50000,0.030136,3925351
Sorted,50000,0.015641,3925351
Sorted,50000,0.015736,3925351
Sorted,100000,0.03136,8365080
Sorted,100000,0.03074,8365080
Sorted,100000,0.032355,8365080
Sorted,300000,0.111735,27413230
Sorted,300000,0.141344,27413230
Sorted,300000,0.116421,27413230
Sorted,500000,0.199348,47404886
Sorted,500000,0.201833,47404886
Sorted,500000,0.205656,47404886
Reversed,10000,0,606771
Reversed,10000,0,606771
Reversed,10000,0.015538,606771
Reversed,30000,0,2063324
Reversed,30000,0,2063324
Reversed,30000,0.004007,2063324
Reversed,50000,0.015617,3612724
Reversed,50000,0.015632,3612724
Reversed,50000,0.015625,3612724
Reversed,100000,0.031927,7718943
Reversed,100000,0.045959,7718943
Reversed,100000,0.031503,7718943
Reversed,300000,0.110282,25569379
Reversed,300000,0.110089,25569379
Reversed,300000,0.128999,25569379
Reversed,500000,0.206264,44483348
Reversed,500000,0.188497,44483348
Reversed,500000,0.173438,44483348
