Orders,Size,Run_time,Comparison
Randomized,10000,0,344929
Randomized,10000,0.004241,344929
Randomized,10000,0,344929
Randomized,30000,0.005207,1093406
Randomized,30000,0.001105,1093406
Randomized,30000,0.015658,1093406
Randomized,50000,0,2022995
Randomized,50000,0.014944,2022995
Randomized,50000,0.015639,2022995
Randomized,100000,0.016055,4195879
Randomized,100000,0.031355,4195879
Randomized,100000,0.031243,4195879
Randomized,300000,0.06347,15109283
Randomized,300000,0.065652,15109283
Randomized,300000,0.086619,15109283
Randomized,500000,0.110461,28987741
Randomized,500000,0.133136,28490291
Randomized,500000,0.133451,28490291
Nearly sorted,10000,0,257959
Nearly sorted,10000,0,257959
Nearly sorted,10000,0,257959
Nearly sorted,30000,0,854788
Nearly sorted,30000,0.007778,854788
Nearly sorted,30000,0.009305,854788
Nearly sorted,50000,0.008289,1504319
Nearly sorted,50000,0.008421,1504319
Nearly sorted,50000,0,1504319
Nearly sorted,100000,0.017259,3171553
Nearly sorted,100000,0.020538,3171553
Nearly sorted,100000,0.010031,3160602
Nearly sorted,300000,0.044015,10301761
Nearly sorted,300000,0.021335,10301761
Nearly sorted,300000,0.031642,10301761
Nearly sorted,500000,0.063382,17784274
Nearly sorted,500000,0.047265,17784274
Nearly sorted,500000,0.062707,17784274
Sorted,10000,0,244975
Sorted,10000,0,244975
Sorted,10000,0,244975
Sorted,30000,0,823646
Sorted,30000,0,823646
Sorted,30000,0,823646
Sorted,50000,0,1467264
Sorted,50000,0.005104,1467264
Sorted,50000,0,1467264
Sorted,100000,0.015635,3134498
Sorted,100000,0.015724,3134498
Sorted,100000,0,3134498
Sorted,300000,0.028166,10258249
Sorted,300000,0.039004,10258249
Sorted,300000,0.032218,10258249
Sorted,500000,0.050954,17737894
Sorted,500000,0.063372,17737894
Sorted,500000,0.048614,17737894
Reversed,10000,0,260814
Reversed,10000,0,260814
Reversed,10000,0,260814
Reversed,30000,0,882283
Reversed,30000,0,882283
Reversed,30000,0,882283
Reversed,50000,0,1549303
Reversed,50000,0,1549303
Reversed,50000,0.015625,1549303
Reversed,100000,0,3300371
Reversed,100000,0.016042,3300371
Reversed,100000,0.015722,3300371
Reversed,300000,0.04765,10789561
Reversed,300000,0.031752,10789561
Reversed,300000,0.040356,10789561
Reversed,500000,0.079063,18769178
Reversed,500000,0.063248,18769178
Reversed,500000,0.063058,18769178
